Address	Function	Instruction
.text:0000000146AAEA78	sub_146AAE9C0	                lea     rdx, aAaocplayercont_67 ; "AAoCPlayerController::ClientUpdateRaidS"...

.text:0000000146AAEAE9	sub_146AAE9C0	                lea     rax, aAaocplayercont_68 ; "AAoCPlayerController::ClientUpdateRaidS"...

.text:0000000146AAEB42	sub_146AAE9C0	                lea     rax, aAaocplayercont_68 ; "AAoCPlayerController::ClientUpdateRaidS"...

.text:0000000146AAEBCA	sub_146AAE9C0	                lea     rax, aAaocplayercont_68 ; "AAoCPlayerController::ClientUpdateRaidS"...

.text:0000000146AAF313	sub_146AAF270	                lea     rdx, aAaocplayercont_69 ; "AAoCPlayerController::ClientUpdateSquad"...

.text:0000000146AAF384	sub_146AAF270	                lea     rax, aAaocplayercont_70 ; "AAoCPlayerController::ClientUpdateSquad"...

.text:0000000146AAF3DE	sub_146AAF270	                lea     rax, aAaocplayercont_70 ; "AAoCPlayerController::ClientUpdateSquad"...

